GemeentecodeGM,Gemeentenaam,Grote gemeente,Inwonertal,Provincienaam,COVID 27-02,COVID 28-02,COVID 29-02,COVID 01-03,COVID 02-03,COVID 03-03,COVID 04-03,COVID 05-03,COVID 06-03,COVID 07-03,COVID 08-03,COVID 09-03,COVID 10-03,COVID 11-03,COVID 12-03,COVID 13-03,COVID 14-03,COVID 15-03,COVID 16-03,COVID 17-03,COVID 18-03,COVID 19-03,COVID 20-03,Aantal per 100.000 inwoners,Toename in 24 uur
GM0888,Beek,Nee,15929,Limburg,,,,,,,,,,,,,,,,,,3,3,3,3,3,5,31.40,2
GM0867,Waalwijk,Nee,48240,Noord-Brabant,,,,,,,,3,3,3,5,5,5,6,6,9,8,8,10,11,12,13,15,31.10,2
GM0268,Nijmegen,Ja,176731,Gelderland,,,,,,,,1,1,2,2,3,3,5,6,8,9,12,17,31,41,48,55,31.10,7
GM0209,Beuningen,Nee,25882,Gelderland,,,,,,,,1,1,1,3,3,3,3,3,3,4,4,5,6,6,6,8,30.90,2
GM0431,Oostzaan,Nee,9757,Noord-Holland,,,,,,,,,,,,,,,,,,,,1,2,2,3,30.70,1
GM0865,Vught,Nee,26396,Noord-Brabant,,,,,,,,,,,,1,1,1,2,2,2,2,3,6,7,8,8,30.30,0
GM0342,Soest,Nee,46194,Utrecht,,,,,,,,4,6,7,7,7,8,8,8,8,8,8,10,11,12,13,14,30.30,1
GM1728,Bladel,Nee,20175,Noord-Brabant,,,,,,,,,,,,,,,,,1,1,1,1,2,3,6,29.70,3
GM0274,Renkum,Nee,31302,Gelderland,,,,,,,,,1,1,5,5,5,7,7,7,7,8,8,8,8,8,9,28.80,1
GM0344,Utrecht,Ja,352866,Utrecht,,,,,2,2,2,6,8,11,13,13,14,18,25,26,30,38,48,60,69,83,101,28.60,18
GM0794,Helmond,Nee,91524,Noord-Brabant,,,,,1,4,4,4,4,4,5,7,11,12,14,16,17,17,17,19,20,22,26,28.40,4
GM1924,Goeree-Overflakkee,Nee,49611,Zuid-Holland,,,,,,,,,,,,,,,,1,1,2,4,5,7,8,14,28.20,6
GM0388,Enkhuizen,Nee,18507,Noord-Holland,,,,,,,,,,,,,,,,,,,1,1,1,5,5,27.00,0
GM0246,Heerde,Nee,18546,Gelderland,,,,,,,,,,,,,,,,,,,2,3,3,4,5,27.00,1
GM1659,Laarbeek,Nee,22333,Noord-Brabant,,,,,,,,,,,,,,,,1,1,1,1,1,2,4,6,26.90,2
GM0221,Doesburg,Nee,11148,Gelderland,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,26.90,2
GM0753,Best,Nee,29821,Noord-Brabant,,,,,,,,1,1,1,2,2,2,3,3,3,3,3,4,5,6,6,8,26.80,2
GM0376,Blaricum,Nee,11202,Noord-Holland,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,26.80,1
GM0225,Druten,Nee,18797,Gelderland,,,,,,,,,,,,,,,,1,3,5,5,5,5,5,5,26.60,0
GM0784,Gilze en Rijen,Nee,26431,Noord-Brabant,,,,,,,,,,,,,,,,1,1,1,1,1,3,5,7,26.50,2
GM0798,Hilvarenbeek,Nee,15334,Noord-Brabant,,,,,,,,,,,,,,1,3,5,5,5,4,4,4,4,4,26.10,0
